ActivityName,Description,Website,ContactName,Email,Address,Category,AffiliatedWithCollege,College,RequiresDues,SkillLevel
Politics Collective,This group is designed to we engage in debates and civic action around public policy. We welcome everyone to contribute their unique perspective.,http://www.greene.com/,Michael Flowers,barrydawn@kelley-gardner.com,"8862 Joseph Spur, Boston, MA 02108",Politics,False,Tufts University,True,Beginner
Movement of Politics,"Students gather here to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://coleman-hardin.net/,Stacey Parker,matthewssusan@decker.com,"246 Micheal Summit, Boston, MA 02115",Politics,True,University of Massachusetts Boston,False,Intermediate
Politics Network,Students gather here to we engage in debates and civic action around public policy. Connect with peers through regular meetups and events.,http://www.adams-torres.com/,Samantha Wells,rivasashley@english.com,"62099 Thomas Viaduct, Boston, MA 02111",Politics,True,Boston College,False,Beginner
Explorers of Politics,"An opportunity to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://www.johnson.com/,Lori Mathews,njoyce@jarvis-walker.com,"74039 Jennifer Trail, Boston, MA 02108",Politics,True,Boston University,False,Intermediate
Roots Circle,"We aim to we engage in debates and civic action around public policy. Our discussions are informal, engaging, and open-minded.",http://www.hill.com/,Gregory Sanchez,jose94@hunt-carpenter.net,"0063 Jennifer Greens, Boston, MA 02110",Politics,True,University of Massachusetts Boston,True,Advanced
Politics Society,Students gather here to we engage in debates and civic action around public policy. We aim to build community through tradition and practice.,https://www.estes.net/,Joshua Johnson,julie20@conway.org,"1839 Larson Mall, Boston, MA 02108",Politics,True,Boston University,True,Advanced
Sessions Alliance,An opportunity to we engage in debates and civic action around public policy. Connect with peers through regular meetups and events.,https://woodward-edwards.net/,Amber Mendoza,onealjohn@norton-caldwell.info,"520 Dustin Corner, Boston, MA 02109",Politics,False,Tufts University,False,Beginner
Voices of Politics,"An opportunity to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",https://hunter.com/,Courtney Morrison,richardsonjohn@cooper.com,"099 Billy Port, Boston, MA 02115",Politics,True,Boston University,False,Beginner
Explorers Network,Join us as we focused on student-led political initiatives and advocacy. Connect with peers through regular meetups and events.,http://www.thompson.org/,Meredith Nguyen,alexandralyons@nelson.com,"76269 Andrew Corners, Boston, MA 02114",Politics,True,Tufts University,True,Beginner
Roots Team,"We come together to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://www.aguilar-thompson.com/,Charles Hensley,lopezchristina@holt-wright.com,"50271 Phillips Tunnel, Boston, MA 02115",Politics,True,Massachusetts Institute of Technology,True,Intermediate
Minds Guild,"This group is designed to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://www.robbins-james.com/,Dr. Lindsey Patel,beverly08@miller.com,"5979 Obrien Drive, Boston, MA 02114",Politics,True,Tufts University,False,Advanced
Builders Society,A space to a space for discussing local and global political issues. We aim to build community through tradition and practice.,https://www.lee-mccoy.com/,Julie Brown,karla93@green.com,"20596 John Pines, Boston, MA 02114",Politics,False,University of Massachusetts Boston,True,Intermediate
Politics Union,We come together to focused on student-led political initiatives and advocacy. We welcome everyone to contribute their unique perspective.,https://www.davis.com/,Matthew Odonnell,bethdavis@taylor.com,"735 Kevin Field, Boston, MA 02116",Politics,True,Northeastern,False,Beginner
Politics Studio,"We aim to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://www.moses.com/,Donna Estrada,deleonpam@hernandez-higgins.info,"149 Smith Spring, Boston, MA 02108",Politics,False,University of Massachusetts Boston,True,Beginner
Politics Forum,"Join us as we focused on student-led political initiatives and advocacy. Our discussions are informal, engaging, and open-minded.",http://moore-wallace.com/,Michael Smith,iboone@collins.net,"3604 Rice Hill, Boston, MA 02109",Politics,False,Massachusetts Institute of Technology,True,Advanced
Politics Initiative,"A space to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://cook.com/,Heather Rodriguez,nbrown@hughes-russo.net,"919 Brooks Street, Boston, MA 02109",Politics,False,Boston College,True,Beginner
Politics Club,We aim to a space for discussing local and global political issues. Join us weekly as we grow our shared passion.,http://miller-parks.info/,Robert Evans,shannonsimmons@gould.com,"62567 Adams Cliff, Boston, MA 02111",Politics,True,Boston University,False,Advanced
Crew of Politics,"Our mission is to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",https://www.erickson.info/,Catherine Skinner,jonesjennifer@wilson.com,"050 Williams Crossing, Boston, MA 02111",Politics,True,Boston University,True,Advanced
Thinkers of Politics,"This group is designed to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",http://www.brown.com/,Anthony Moody,ryan94@santana.com,"39886 Lopez Estate, Boston, MA 02118",Politics,True,University of Massachusetts Boston,False,Beginner
